source,packet_id,latency
0,0,11
0,1,14
0,2,15
0,3,15
1,0,41
1,1,11
0,4,14
0,5,15
0,6,15
0,7,15
1,2,47
0,8,11
0,9,15
0,10,15
0,11,14
1,3,43
1,4,11
0,12,15
0,13,15
0,14,15
0,15,14
0,16,12
1,5,54
0,17,15
0,18,15
0,19,15
0,20,15
1,6,44
0,21,17
1,7,11
0,22,18
0,23,15
0,24,15
0,25,15
1,8,47
0,26,11
0,27,13
0,28,15
0,29,15
0,30,15
1,9,50
0,31,11
0,32,12
0,33,15
0,34,15
0,35,15
1,10,50
0,36,11
0,37,13
0,38,13
0,39,15
0,40,15
1,11,49
0,41,11
0,42,15
0,43,14
0,44,15
0,45,15
0,46,15
