Line,FIFO,Count,Head,Tail
7457,East,1,2,1
7500,Local,4,0,2
7508,Local,4,0,1
7519,East,1,2,1
7563,Local,4,0,2
7571,Local,4,0,1
7582,East,1,2,1
7627,Local,4,0,2
7635,Local,4,0,1
7646,East,1,2,1
7691,Local,4,0,2
7699,Local,3,1,1
7710,East,2,2,2
7753,Local,4,0,2
7761,Local,3,1,1
7772,East,2,2,2
7818,Local,4,0,2
7826,Local,3,1,1
7837,East,2,2,2
7882,Local,4,0,2
7890,Local,2,2,2
7901,East,2,2,2
7944,Local,4,0,2
7952,Local,2,2,2
7963,East,2,2,2
8007,Local,4,0,2
8015,Local,2,2,2
8026,East,2,2,2
8070,Local,4,0,2
8078,Local,2,2,2
8089,East,2,2,2
8134,Local,4,0,2
8142,Local,1,3,2
8153,East,2,2,2
8200,Local,4,0,2
8208,Local,0,0,3
8219,East,3,2,3
8264,Local,4,0,2
8272,Local,0,0,3
8283,East,2,3,3
8288,Local,1,0,2
8327,Local,4,0,2
8335,Local,0,0,3
8346,East,1,0,3
8351,Local,1,0,2
8391,Local,4,0,2
8399,Local,0,0,3
8410,East,1,0,3
8415,Local,2,0,3
8456,Local,4,0,2
8464,Local,1,0,0
8475,East,1,0,3
8480,Local,2,0,3
8522,Local,4,0,2
8530,Local,1,0,0
8541,East,1,0,3
8546,Local,1,1,0
8586,Local,4,0,2
8594,Local,1,0,0
8605,East,0,1,3
8610,Local,1,1,0
8648,Local,4,0,2
8656,Local,1,0,0
8667,East,0,1,3
8672,Local,2,1,1
8713,Local,4,0,2
8721,Local,0,1,0
8732,East,0,1,3
8737,Local,2,1,1
8778,Local,4,0,2
8786,Local,1,1,1
8797,East,0,1,3
8802,Local,1,2,2
8842,Local,3,1,2
8850,Local,1,1,1
8861,East,1,1,0
8866,Local,1,2,2
8905,Local,3,1,2
8913,Local,1,1,1
8924,East,0,2,0
8929,Local,2,2,3
8970,Local,3,1,2
8978,Local,0,2,1
8989,East,0,2,0
8994,Local,2,2,3
9035,Local,3,1,2
9043,Local,1,2,2
9054,East,0,2,0
9100,Local,3,1,2
9108,Local,1,2,2
9119,East,1,2,1
9165,Local,4,1,3
9173,Local,1,2,2
9184,East,0,3,1
9231,Local,4,1,3
9250,East,0,3,1
9294,Local,4,1,3
9313,East,0,3,1
9357,Local,4,1,3
9376,East,1,3,2
9420,Local,4,1,3
9439,East,1,3,2
9486,Local,3,2,3
9505,East,1,3,2
9550,Local,3,2,3
9566,Local,2,1,0
9569,East,0,0,2
9614,Local,4,2,0
9630,Local,2,1,0
9633,East,1,0,3
9677,Local,4,2,0
9693,Local,2,1,0
9696,East,0,1,3
9740,Local,4,2,0
9756,Local,3,1,1
9759,East,0,1,3
9805,Local,4,2,0
9821,Local,2,2,1
9824,East,0,1,3
9869,Local,4,2,0
9885,Local,3,2,2
9888,East,0,1,3
9932,Local,4,2,0
9948,Local,3,2,2
9951,East,0,1,3
9996,Local,3,3,0
10012,Local,3,2,2
10015,East,0,1,3
10062,Local,3,3,0
10078,Local,2,3,3
10081,East,0,1,3
10127,Local,4,3,1
10143,Local,2,3,3
10146,East,0,1,3
10191,Local,4,3,1
10207,Local,2,3,3
10210,East,0,1,3
10254,Local,4,3,1
10270,Local,3,3,0
10273,East,0,1,3
10319,Local,4,3,1
10335,Local,2,0,0
10338,East,0,1,3
10383,Local,4,3,1
10399,Local,3,0,1
10402,East,1,1,0
10446,Local,4,3,1
10462,Local,3,0,1
10465,East,1,1,0
10510,Local,3,0,1
10526,Local,3,0,1
10529,East,1,1,0
10574,Local,3,0,1
10590,Local,4,0,2
10593,East,0,2,0
10636,Local,3,0,1
10652,Local,4,0,2
10655,East,1,2,1
10698,Local,3,0,1
10714,Local,4,0,2
10717,East,1,2,1
10761,Local,3,0,1
10777,Local,4,0,2
10780,East,1,2,1
10825,Local,4,0,2
10841,Local,4,0,2
10844,East,0,3,1
10849,Local,2,2,1
10886,Local,4,0,2
10902,Local,4,0,2
10905,East,1,3,2
10910,Local,2,2,1
10950,Local,4,0,2
10966,Local,4,0,2
10969,East,1,3,2
10974,Local,2,2,1
11013,Local,4,0,2
11029,Local,4,0,2
11032,East,1,3,2
11037,Local,3,2,2
11077,Local,4,0,2
11093,Local,4,0,2
11096,East,0,0,2
11101,Local,2,3,2
11140,Local,4,0,2
11156,Local,4,0,2
11159,East,1,0,3
11164,Local,3,3,3
11203,Local,4,0,2
11219,Local,4,0,2
11222,East,1,0,3
11227,Local,3,3,3
11266,Local,4,0,2
11282,Local,4,0,2
11285,East,1,0,3
11290,Local,3,3,3
11329,Local,4,0,2
11345,Local,4,0,2
11348,East,0,1,3
11353,Local,2,0,0
11392,Local,4,0,2
11408,Local,4,0,2
11411,East,1,1,0
11416,Local,2,0,0
11456,Local,4,0,2
11472,Local,4,0,2
11475,East,1,1,0
11480,Local,2,0,0
11519,Local,4,0,2
11535,Local,4,0,2
11538,East,1,1,0
11543,Local,3,0,1
11581,Local,4,0,2
11597,Local,4,0,2
11600,East,0,2,0
11605,Local,2,1,1
11643,Local,4,0,2
11659,Local,4,0,2
11662,East,1,2,1
11667,Local,2,1,1
11707,Local,4,0,2
11715,Local,0,0,1
11723,Local,4,0,2
11726,East,1,2,1
11731,Local,2,1,1
11768,Local,4,0,2
11776,Local,0,0,1
11784,Local,4,0,2
11787,East,1,2,1
11792,Local,2,1,1
11831,Local,4,0,2
11839,Local,0,0,1
11847,Local,4,0,2
11850,East,0,3,1
11855,Local,1,2,1
11895,Local,4,0,2
11903,Local,0,0,1
11911,Local,4,0,2
11914,East,1,3,2
11919,Local,2,2,2
11959,Local,4,0,2
11967,Local,1,0,2
11975,Local,4,0,2
11978,East,0,0,2
11983,Local,2,2,2
12021,Local,4,0,2
12029,Local,1,0,2
12037,Local,4,0,2
12040,East,0,0,2
12045,Local,1,3,2
12085,Local,3,1,2
12093,Local,1,0,2
12101,Local,3,1,2
12104,East,0,0,2
12109,Local,1,3,2
12150,Local,3,1,2
12158,Local,0,1,2
12166,Local,3,1,2
12169,East,1,0,3
12174,Local,2,3,3
12215,Local,3,1,2
12223,Local,0,1,2
12231,Local,4,1,3
12234,East,0,1,3
12239,Local,2,3,3
12277,Local,3,1,2
12285,Local,0,1,2
12293,Local,4,1,3
12296,East,0,1,3
12301,Local,3,3,0
12339,Local,3,1,2
12347,Local,0,1,2
12355,Local,3,2,3
12358,East,0,1,3
12363,Local,3,3,0
12403,Local,2,2,2
12411,Local,0,1,2
12419,Local,3,2,3
12422,East,1,1,0
12427,Local,3,3,0
12468,Local,3,2,3
12476,Local,1,1,3
12484,Local,3,2,3
12487,East,1,1,0
12492,Local,2,0,0
12532,Local,3,2,3
12540,Local,1,1,3
12548,Local,3,2,3
12551,East,1,1,0
12556,Local,2,0,0
12598,Local,4,2,0
12606,Local,2,1,0
12614,Local,2,3,0
12617,East,1,1,0
12622,Local,2,0,0
12664,Local,4,2,0
12672,Local,1,2,0
12680,Local,2,3,0
12683,East,1,1,0
12688,Local,1,1,1
12728,Local,4,2,0
12736,Local,2,2,1
12744,Local,2,3,0
12747,East,1,1,0
12752,Local,1,1,1
12791,Local,4,2,0
12799,Local,2,2,1
12807,Local,2,3,0
12810,East,1,1,0
12815,Local,2,1,2
12854,Local,4,2,0
12862,Local,2,2,1
12870,Local,3,3,1
12873,East,0,2,0
12878,Local,2,1,2
12919,Local,4,2,0
12927,Local,1,3,2
12935,Local,2,0,1
12938,East,0,2,0
12943,Local,2,1,2
12982,Local,4,2,0
12990,Local,1,3,2
12998,Local,2,0,1
13001,East,0,2,0
13006,Local,3,1,3
13045,Local,4,2,0
13053,Local,1,3,2
13061,Local,2,0,1
13064,East,0,2,0
13069,Local,3,1,3
13111,Local,4,2,0
13119,Local,0,0,3
13127,Local,1,1,1
13130,East,0,2,0
13135,Local,4,1,0
13174,Local,3,3,0
13182,Local,0,0,3
13190,Local,1,1,1
13193,East,0,2,0
13198,Local,3,2,0
13238,Local,3,3,0
13246,Local,0,0,3
13254,Local,1,1,1
13257,East,1,2,1
13262,Local,3,2,0
13303,Local,4,3,1
13311,Local,0,0,3
13319,Local,2,1,2
13322,East,0,3,1
13327,Local,3,2,0
13365,Local,4,3,1
13373,Local,1,0,0
13381,Local,2,1,2
13384,East,0,3,1
13389,Local,3,2,0
13428,Local,4,3,1
13436,Local,1,0,0
13444,Local,2,1,2
13447,East,0,3,1
13452,Local,2,3,0
13493,Local,4,3,1
13501,Local,1,0,0
13509,Local,3,1,3
13512,East,0,3,1
13517,Local,2,3,0
13559,Local,4,3,1
13575,Local,3,1,3
13578,East,0,3,1
13583,Local,2,3,0
13625,Local,3,0,1
13641,Local,4,1,0
13644,East,0,3,1
13688,Local,3,0,1
13704,Local,3,2,0
13707,East,0,3,1
13751,Local,3,0,1
