Line,FIFO,Count,Head,Tail
21222,Local,4,0,1
21225,East,0,3,0
21230,Local,3,2,0
21234,West,4,3,0
21238,Local,3,2,3
21241,East,1,1,0
21246,Local,3,2,3
21285,Local,4,0,1
21288,East,0,3,0
21297,West,3,0,0
21301,Local,3,2,3
21304,East,0,2,0
21309,Local,3,2,3
21348,Local,4,0,1
21351,East,1,3,1
21360,West,2,1,0
21364,Local,3,2,3
21367,East,1,2,1
21372,Local,3,2,3
21413,Local,4,0,1
21416,East,0,0,1
21425,West,2,1,0
21429,Local,3,2,3
21432,East,1,2,1
21437,Local,4,2,0
21476,Local,4,0,1
21479,East,0,0,1
21488,West,2,1,0
21492,Local,4,2,0
21495,East,1,2,1
21500,Local,4,2,0
21541,Local,4,0,1
21544,East,0,0,1
21549,Local,1,0,2
21553,West,2,1,0
21557,Local,3,3,0
21560,East,0,3,1
21565,Local,3,3,0
21604,Local,4,0,1
21607,East,0,0,1
21612,Local,1,0,2
21616,West,3,1,1
21620,Local,3,3,0
21623,East,1,3,2
21628,Local,3,3,0
21670,Local,4,0,1
21673,East,0,0,1
21678,Local,1,0,2
21682,West,3,1,1
21686,Local,4,3,1
21689,East,0,0,2
21694,Local,4,3,1
21731,Local,4,0,1
21734,East,0,0,1
21739,Local,1,0,2
21743,West,3,1,1
21747,Local,4,3,1
21750,East,0,0,2
21755,Local,4,3,1
21796,Local,3,1,1
21799,East,0,0,1
21804,Local,0,1,2
21808,West,3,1,1
21812,Local,3,0,1
21815,East,0,0,2
21820,Local,3,0,1
21858,Local,3,1,1
21861,East,1,0,2
21866,Local,0,1,2
21870,West,3,1,1
21874,Local,3,0,1
21877,East,0,0,2
21882,Local,3,0,1
21923,Local,3,1,1
21926,East,0,1,2
21931,Local,1,1,3
21935,West,3,1,1
21939,Local,3,0,1
21942,East,0,0,2
21947,Local,3,0,1
21986,Local,3,1,1
21989,East,0,1,2
21994,Local,1,1,3
21998,West,3,1,1
22002,Local,3,0,1
22005,East,0,0,2
22010,Local,3,0,1
22052,Local,2,2,1
22055,East,0,1,2
22060,Local,2,1,0
22064,West,2,2,1
22068,Local,4,0,2
22071,East,0,0,2
22076,Local,2,1,1
22115,Local,3,2,2
22118,East,1,1,3
22123,Local,2,1,0
22127,West,2,2,1
22131,Local,4,0,2
22134,East,0,0,2
22139,Local,2,1,1
22181,Local,3,2,2
22184,East,0,2,3
22189,Local,2,1,0
22193,West,2,2,1
22197,Local,4,0,2
22200,East,0,0,2
22205,Local,3,1,2
22243,Local,2,3,2
22246,East,0,2,3
22251,Local,2,1,0
22255,West,2,2,1
22259,Local,4,0,2
22262,East,0,0,2
22267,Local,3,1,2
22306,Local,2,3,2
22309,East,0,2,3
22314,Local,1,2,0
22318,West,1,3,1
22322,Local,4,0,2
22325,East,0,0,2
22330,Local,2,2,2
22368,Local,2,3,2
22371,East,0,2,3
22376,Local,1,2,0
22380,West,2,3,2
22384,Local,4,0,2
22387,East,1,0,3
22392,Local,2,2,2
22434,Local,2,3,2
22437,East,0,2,3
22442,Local,1,2,0
22446,West,2,3,2
22450,Local,4,0,2
22453,East,0,1,3
22458,Local,3,2,3
22496,Local,3,3,3
22499,East,0,2,3
22504,Local,1,2,0
22508,West,2,3,2
22512,Local,4,0,2
22515,East,0,1,3
22520,Local,3,2,3
22561,Local,2,0,3
22564,East,0,2,3
22569,Local,1,2,0
22573,West,2,3,2
22577,Local,3,1,2
22580,East,0,1,3
22585,Local,3,2,3
22626,Local,3,0,0
22629,East,0,2,3
22634,Local,2,2,1
22638,West,3,3,3
22642,Local,3,1,2
22645,East,1,1,0
22650,Local,3,2,3
22690,Local,3,0,0
22693,East,0,2,3
22698,Local,2,2,1
22702,West,3,3,3
22706,Local,4,1,3
22709,East,1,1,0
22714,Local,4,2,0
22753,Local,3,0,0
22756,East,0,2,3
22761,Local,2,2,1
22765,West,3,3,3
22769,Local,4,1,3
22772,East,1,1,0
22777,Local,4,2,0
22819,Local,2,1,1
22822,East,0,2,3
22827,Local,1,3,2
22831,West,3,3,3
22835,Local,4,1,3
22838,East,0,2,0
22843,Local,3,3,0
22881,Local,2,1,1
22884,East,1,2,0
22889,Local,1,3,2
22893,West,3,3,3
22897,Local,4,1,3
22900,East,1,2,1
22905,Local,3,3,0
22944,Local,2,1,1
22947,East,1,2,0
22952,Local,1,3,2
22956,West,3,3,3
22960,Local,4,1,3
22963,East,1,2,1
22968,Local,3,3,0
23006,Local,2,1,1
23009,East,1,2,0
23014,Local,1,3,2
23018,West,3,3,3
23022,Local,4,1,3
23025,East,1,2,1
23030,Local,4,3,1
23070,Local,2,1,1
23073,East,1,2,0
23078,Local,0,0,2
23082,West,2,0,3
23086,Local,4,1,3
23089,East,0,3,1
23094,Local,3,0,1
23133,Local,3,1,2
23136,East,1,2,0
23141,Local,0,0,2
23145,West,3,0,0
23149,Local,4,1,3
23152,East,0,3,1
23157,Local,3,0,1
23196,Local,3,1,2
23199,East,1,2,0
23204,Local,1,0,3
23208,West,3,0,0
23212,Local,4,1,3
23215,East,0,3,1
23220,Local,3,0,1
23258,Local,4,1,3
23261,East,1,2,0
23266,Local,1,0,3
23270,West,3,0,0
23274,Local,4,1,3
23277,East,0,3,1
23282,Local,3,0,1
23321,Local,3,2,3
23324,East,1,2,0
23329,Local,1,0,3
23333,West,3,0,0
23337,Local,4,1,3
23340,East,0,3,1
23345,Local,2,1,1
23382,Local,3,2,3
23385,East,1,2,0
23390,Local,1,0,3
23394,West,4,0,1
23398,Local,4,1,3
23401,East,1,3,2
23406,Local,2,1,1
23449,Local,3,2,3
23452,East,1,2,0
23457,Local,1,0,3
23461,West,3,1,1
23465,Local,4,1,3
23468,East,0,0,2
23473,Local,2,1,1
23513,Local,3,2,3
23516,East,1,2,0
23521,Local,2,0,0
23525,West,2,2,1
23529,Local,4,1,3
23532,East,0,0,2
23537,Local,3,1,2
23579,Local,2,3,3
23582,East,1,2,0
23587,Local,1,1,0
23591,West,1,3,1
23595,Local,4,1,3
23598,East,0,0,2
23603,Local,2,2,2
23642,Local,3,3,0
23645,East,2,2,1
23650,Local,1,1,0
23654,West,1,3,1
23658,Local,4,1,3
23661,East,1,0,3
23666,Local,2,2,2
23706,Local,3,3,0
23709,East,2,2,1
23714,Local,2,1,1
23718,West,1,3,1
23722,Local,4,1,3
23725,East,1,0,3
23730,Local,2,2,2
23768,Local,3,3,0
23771,East,2,2,1
23776,Local,1,2,1
23780,West,1,3,1
23784,Local,4,1,3
23787,East,1,0,3
23792,Local,2,2,2
23831,Local,3,3,0
23834,East,2,2,1
23839,Local,0,3,1
23843,West,1,3,1
23847,Local,4,1,3
23850,East,0,1,3
23855,Local,1,3,2
23894,Local,3,3,0
23897,East,2,2,1
23902,Local,0,3,1
23906,West,1,3,1
23910,Local,4,1,3
23913,East,1,1,0
23918,Local,1,3,2
23960,Local,3,3,0
23963,East,2,2,1
23968,Local,1,3,2
23972,West,1,3,1
23976,Local,4,1,3
23979,East,0,2,0
23984,Local,2,3,3
24023,Local,2,0,0
24026,East,2,2,1
24031,Local,1,3,2
24035,West,1,3,1
24039,Local,4,1,3
24042,East,0,2,0
24047,Local,2,3,3
24088,Local,2,0,0
24091,East,1,3,1
24096,Local,2,3,3
24100,West,0,0,1
24104,Local,4,1,3
24107,East,0,2,0
24112,Local,1,0,3
24152,Local,3,0,1
24155,East,1,3,1
24160,Local,2,3,3
24164,West,0,0,1
24168,Local,4,1,3
24171,East,1,2,1
24176,Local,2,0,0
24217,Local,3,0,1
24220,East,1,3,1
24225,Local,3,3,0
24229,West,0,0,1
24233,Local,4,1,3
24236,East,1,2,1
24241,Local,2,0,0
24282,Local,4,0,2
24285,East,1,3,1
24290,Local,2,0,0
24294,West,0,0,1
24298,Local,4,1,3
24301,East,1,2,1
24306,Local,2,0,0
24346,Local,4,0,2
24349,East,2,3,2
24354,Local,3,0,1
24358,West,0,0,1
24362,Local,4,1,3
24365,East,0,3,1
24370,Local,1,1,1
24408,Local,4,0,2
24411,East,2,3,2
24416,Local,3,0,1
24420,West,0,0,1
24424,Local,4,1,3
24427,East,1,3,2
24432,Local,1,1,1
24474,Local,4,0,2
24477,East,2,3,2
24482,Local,4,0,2
24486,West,0,0,1
24490,Local,4,1,3
24493,East,0,0,2
24498,Local,1,1,1
24537,Local,4,0,2
24540,East,2,3,2
24545,Local,3,1,2
24549,West,0,0,1
24553,Local,4,1,3
24556,East,0,0,2
24561,Local,2,1,2
24600,Local,3,1,2
24603,East,2,3,2
24608,Local,3,1,2
24612,West,1,0,2
24616,Local,4,1,3
24619,East,0,0,2
24624,Local,1,2,2
24664,Local,3,1,2
24667,East,2,3,2
24672,Local,3,1,2
24676,West,0,1,2
24680,Local,4,1,3
24683,East,1,0,3
24688,Local,1,2,2
24731,Local,3,1,2
24734,East,2,3,2
24739,Local,4,1,3
24743,West,0,1,2
24747,Local,4,1,3
24750,East,0,1,3
24755,Local,2,2,3
24794,Local,4,1,3
24797,East,2,3,2
24802,Local,4,1,3
24806,West,0,1,2
24810,Local,4,1,3
24813,East,0,1,3
24818,Local,1,3,3
24857,Local,3,2,3
24860,East,3,3,3
24865,Local,4,1,3
24869,West,0,1,2
24873,Local,3,2,3
24876,East,0,1,3
24881,Local,1,3,3
24919,Local,3,2,3
24922,East,3,3,3
24927,Local,4,1,3
24931,West,0,1,2
24935,Local,3,2,3
24938,East,1,1,0
24943,Local,1,3,3
24983,Local,4,2,0
24986,East,3,3,3
24991,Local,4,1,3
24995,West,0,1,2
24999,Local,3,2,3
25002,East,0,2,0
25007,Local,1,3,3
25047,Local,3,3,0
25050,East,3,3,3
25055,Local,3,2,3
25059,West,0,1,2
25063,Local,3,2,3
25066,East,0,2,0
25071,Local,1,3,3
25113,Local,2,0,0
25116,East,3,3,3
25121,Local,3,2,3
25125,West,0,1,2
25129,Local,3,2,3
25132,East,0,2,0
25178,Local,3,0,1
25181,East,3,3,3
25186,Local,3,2,3
25190,West,0,1,2
25194,Local,4,2,0
25197,East,1,2,1
25241,Local,3,0,1
25244,East,3,3,3
25249,Local,4,2,0
25253,West,0,1,2
25257,Local,4,2,0
25260,East,1,2,1
25304,Local,3,0,1
25307,East,3,3,3
25312,Local,3,3,0
25316,West,0,1,2
25320,Local,4,2,0
25323,East,1,2,1
25368,Local,4,0,2
25371,East,3,3,3
25376,Local,3,3,0
25380,West,0,1,2
25384,Local,3,3,0
25387,East,0,3,1
25433,Local,4,0,2
25436,East,3,3,3
25441,Local,3,3,0
25445,West,0,1,2
25449,Local,3,3,0
25452,East,0,3,1
25497,Local,4,0,2
25500,East,3,3,3
25505,Local,4,3,1
25509,West,0,1,2
25513,Local,4,3,1
25516,East,0,3,1
25560,Local,4,0,2
25563,East,3,3,3
25568,Local,3,0,1
25572,West,0,1,2
25576,Local,4,3,1
25579,East,0,3,1
25625,Local,3,1,2
25628,East,3,3,3
25633,Local,3,0,1
25637,West,1,1,3
25641,Local,4,3,1
25644,East,0,3,1
25649,Local,0,1,2
25689,Local,3,1,2
25692,East,3,3,3
25697,Local,4,0,2
25701,West,0,2,3
25705,Local,4,3,1
25708,East,1,3,2
25713,Local,0,1,2
25754,Local,3,1,2
25757,East,3,3,3
25762,Local,3,1,2
25766,West,0,2,3
25770,Local,4,3,1
25773,East,0,0,2
25778,Local,0,1,2
25816,Local,3,1,2
25819,East,3,3,3
25824,Local,3,1,2
25828,West,0,2,3
25832,Local,4,3,1
25835,East,0,0,2
25840,Local,1,1,3
25879,Local,3,1,2
25882,East,2,0,3
25887,Local,3,1,2
25891,West,0,2,3
25895,Local,3,0,1
25898,East,0,0,2
25903,Local,1,1,3
25945,Local,4,1,3
25948,East,1,1,3
25953,Local,3,1,2
25957,West,0,2,3
25961,Local,3,0,1
25964,East,0,0,2
25969,Local,1,1,3
26011,Local,4,1,3
26014,East,0,2,3
26019,Local,2,2,3
26023,West,0,2,3
26027,Local,3,0,1
26030,East,0,0,2
26035,Local,2,1,0
26074,Local,4,1,3
26077,East,0,2,3
26082,Local,2,2,3
26086,West,0,2,3
26090,Local,3,0,1
26093,East,0,0,2
26098,Local,2,1,0
26139,Local,4,1,3
26142,East,0,2,3
26147,Local,3,2,0
26151,West,0,2,3
26155,Local,3,0,1
26158,East,0,0,2
26163,Local,1,2,1
26203,Local,4,1,3
26206,East,0,2,3
26211,Local,3,2,0
26215,West,0,2,3
26219,Local,4,0,2
26222,East,1,0,3
26227,Local,1,2,1
26268,Local,4,1,3
26271,East,0,2,3
26276,Local,2,3,0
26280,West,0,2,3
26284,Local,4,0,2
26287,East,0,1,3
26292,Local,2,2,2
26330,Local,4,1,3
26333,East,1,2,0
26338,Local,2,3,0
26342,West,0,2,3
26346,Local,4,0,2
26349,East,0,1,3
26354,Local,2,2,2
26395,Local,4,1,3
26398,East,1,2,0
26403,Local,2,3,0
26407,West,0,2,3
26411,Local,3,1,2
26414,East,0,1,3
26419,Local,1,3,3
26460,Local,4,1,3
26463,East,1,2,0
26468,Local,3,3,1
26472,West,0,2,3
26476,Local,3,1,2
26479,East,0,1,3
26484,Local,1,3,3
26525,Local,3,2,3
26528,East,0,3,0
26533,Local,3,3,1
26537,West,0,2,3
26541,Local,4,1,3
26544,East,0,1,3
26549,Local,2,3,0
26587,Local,3,2,3
26590,East,1,3,1
26595,Local,3,3,1
26599,West,0,2,3
26603,Local,4,1,3
26606,East,0,1,3
26611,Local,2,3,0
26652,Local,3,2,3
26655,East,0,0,1
26660,Local,3,3,1
26664,West,0,2,3
26668,Local,4,1,3
26671,East,0,1,3
26715,Local,3,2,3
26718,East,0,0,1
26723,Local,4,3,2
26727,West,0,2,3
26731,Local,4,1,3
26734,East,1,1,0
26781,Local,2,3,0
26784,East,0,0,1
26789,Local,4,3,2
26793,West,0,2,3
26797,Local,4,1,3
26800,East,0,2,0
26844,Local,2,3,0
26847,East,1,0,2
26852,Local,4,3,2
26856,West,0,2,3
26860,Local,4,1,3
26863,East,0,2,0
26910,Local,3,3,1
26913,East,0,1,2
26918,Local,3,0,2
26922,West,0,2,3
26926,Local,4,1,3
26929,East,0,2,0
26975,Local,2,0,1
26978,East,0,1,2
26983,Local,3,0,2
26987,West,0,2,3
26991,Local,4,1,3
26994,East,0,2,0
27040,Local,3,0,2
27043,East,0,1,2
27048,Local,4,0,3
27052,West,0,2,3
27056,Local,4,1,3
27059,East,0,2,0
27102,Local,3,0,2
27105,East,0,1,2
27110,Local,3,1,3
27114,West,1,2,0
27118,Local,4,1,3
27121,East,0,2,0
27168,Local,3,0,2
27171,East,0,1,2
27176,Local,3,1,3
27180,West,1,2,0
27184,Local,3,2,3
27187,East,0,2,0
27236,East,0,1,2
27241,Local,3,1,3
27245,West,1,2,0
27249,Local,3,2,3
27252,East,1,2,1
27299,East,0,1,2
27304,Local,4,1,0
27308,West,1,2,0
27312,Local,3,2,3
27315,East,1,2,1
27363,East,0,1,2
27368,Local,3,2,0
27372,West,2,2,1
27376,Local,3,2,3
27379,East,1,2,1
27429,East,0,1,2
27434,Local,3,2,0
27438,West,1,3,1
27442,Local,4,2,0
27445,East,1,2,1
27493,East,0,1,2
27498,Local,4,2,1
27502,West,0,0,1
27506,Local,4,2,0
27509,East,0,3,2
27556,East,0,1,2
27561,Local,4,2,1
27565,West,0,0,1
27569,Local,4,2,0
27572,East,0,3,2
27620,East,0,1,2
27625,Local,3,3,1
27629,West,0,0,1
27633,Local,4,2,0
27636,East,0,3,2
27684,East,1,1,3
27689,Local,3,3,1
27693,West,0,0,1
27697,Local,3,3,0
27700,East,0,3,2
27747,East,0,2,3
27752,Local,4,3,2
27756,West,0,0,1
27760,Local,3,3,0
27763,East,0,3,2
27811,East,0,2,3
27816,Local,4,3,2
27820,West,0,0,1
27824,Local,3,3,0
27827,East,0,3,2
27876,East,0,2,3
27881,Local,3,0,2
27885,West,0,0,1
27889,Local,4,3,1
27892,East,0,3,2
27941,East,1,2,0
27946,Local,3,0,2
27950,West,0,0,1
27954,Local,3,0,1
27957,East,0,3,2
28005,East,0,3,0
28010,Local,4,0,3
28014,West,0,0,1
28018,Local,3,0,1
28021,East,1,3,3
28069,East,0,3,0
28074,Local,4,0,3
28078,West,0,0,1
28082,Local,3,0,1
28085,East,0,0,3
28133,East,0,3,0
28138,Local,3,1,3
28142,West,0,0,1
28146,Local,3,0,1
28149,East,0,0,3
28196,East,1,3,1
28201,Local,3,1,3
28205,West,0,0,1
28209,Local,3,0,1
28212,East,0,0,3
28259,East,0,0,1
28264,Local,3,1,3
28268,West,0,0,1
28272,Local,3,0,1
28275,East,0,0,3
28323,East,0,0,1
28328,Local,3,1,3
28332,West,0,0,1
28336,Local,3,0,1
28339,East,0,0,3
28387,East,0,0,1
28392,Local,4,1,0
28396,West,0,0,1
28400,Local,4,0,2
28403,East,0,0,3
28449,East,1,0,2
28454,Local,4,1,0
28458,West,0,0,1
28462,Local,4,0,2
28465,East,0,0,3
28510,East,1,0,2
28515,Local,4,1,0
28519,West,0,0,1
28523,Local,4,0,2
28526,East,0,0,3
28573,East,1,0,2
28578,Local,4,1,0
28582,West,0,0,1
28586,Local,4,0,2
28589,East,0,0,3
28636,East,0,1,2
28641,Local,4,1,0
28645,West,0,0,1
28649,Local,4,0,2
28652,East,0,0,3
28699,East,1,1,3
28704,Local,4,1,0
28708,West,0,0,1
28712,Local,4,0,2
28715,East,0,0,3
28763,East,0,2,3
28768,Local,4,1,0
28772,West,0,0,1
28776,Local,4,0,2
28779,East,1,0,0
28827,East,0,2,3
28832,Local,4,1,0
28836,West,0,0,1
28840,Local,4,0,2
28843,East,0,1,0
28891,East,0,2,3
28896,Local,4,1,0
28900,West,0,0,1
28904,Local,4,0,2
28907,East,0,1,0
28956,East,0,2,3
28961,Local,3,2,0
28965,West,1,0,2
28969,Local,4,0,2
28972,East,0,1,0
28977,Local,2,1,0
29019,East,0,2,3
29024,Local,3,2,0
29028,West,0,1,2
29032,Local,4,0,2
29035,East,1,1,1
29040,Local,2,1,0
29080,Local,2,1,0
29083,East,0,2,3
29088,Local,3,2,0
29092,West,0,1,2
29096,Local,4,0,2
29099,East,1,1,1
29104,Local,2,1,0
29143,Local,2,1,0
29146,East,0,2,3
29151,Local,3,2,0
29155,West,0,1,2
29159,Local,4,0,2
29162,East,1,1,1
29167,Local,2,1,0
29209,Local,3,1,1
29212,East,0,2,3
29217,Local,2,3,0
29221,West,1,1,3
29225,Local,4,0,2
29228,East,1,1,1
29233,Local,1,2,1
29274,Local,3,1,1
29277,East,0,2,3
29282,Local,3,3,1
29286,West,0,2,3
29290,Local,4,0,2
29293,East,2,1,2
29298,Local,1,2,1
29340,Local,4,1,2
29343,East,0,2,3
29348,Local,3,3,1
29352,West,0,2,3
29356,Local,4,0,2
29359,East,1,2,2
29364,Local,1,2,1
29405,Local,4,1,2
29408,East,0,2,3
29417,West,0,2,3
29421,Local,4,0,2
29424,East,0,3,2
29429,Local,2,2,2
29468,Local,4,1,2
29471,East,0,2,3
29480,West,1,2,0
29484,Local,4,0,2
29487,East,0,3,2
29492,Local,1,3,2
29531,Local,4,1,2
29534,East,0,2,3
29543,West,0,3,0
29547,Local,4,0,2
29550,East,1,3,3
29555,Local,1,3,2
29594,Local,3,2,2
29597,East,0,2,3
29606,West,0,3,0
29610,Local,4,0,2
29613,East,1,3,3
29618,Local,1,3,2
29658,Local,3,2,2
29661,East,0,2,3
29670,West,0,3,0
29674,Local,4,0,2
29677,East,1,3,3
29682,Local,1,3,2
29723,Local,4,2,3
29726,East,0,2,3
29735,West,0,3,0
29739,Local,4,0,2
29742,East,1,3,3
29747,Local,0,0,2
29785,Local,4,2,3
29788,East,0,2,3
29797,West,0,3,0
29801,Local,4,0,2
29804,East,2,3,0
29809,Local,0,0,2
29850,Local,4,2,3
29853,East,0,2,3
29862,West,0,3,0
29866,Local,4,0,2
29869,East,1,0,0
29874,Local,0,0,2
29914,Local,4,2,3
29917,East,0,2,3
29926,West,0,3,0
29930,Local,4,0,2
29933,East,0,1,0
29938,Local,1,0,3
29976,Local,4,2,3
29979,East,1,2,0
29988,West,0,3,0
29992,Local,3,1,2
29995,East,0,1,0
30000,Local,1,0,3
30038,Local,4,2,3
30041,East,0,3,0
30050,West,0,3,0
30054,Local,3,1,2
30057,East,1,1,1
30062,Local,1,0,3
30104,Local,3,3,3
30107,East,0,3,0
30116,West,0,3,0
30120,Local,3,1,2
30123,East,0,2,1
30128,Local,1,0,3
30167,Local,3,3,3
30170,East,0,3,0
30179,West,0,3,0
30183,Local,4,1,3
30186,East,0,2,1
30191,Local,1,0,3
30231,Local,3,3,3
30234,East,1,3,1
30243,West,0,3,0
30247,Local,4,1,3
30250,East,0,2,1
30255,Local,0,1,3
30296,Local,3,3,3
30299,East,1,3,1
30308,West,0,3,0
30312,Local,4,1,3
30315,East,1,2,2
30320,Local,1,1,0
30362,Local,2,0,0
30365,East,1,3,1
30374,West,0,3,0
30378,Local,4,1,3
30381,East,0,3,2
30386,Local,1,1,0
30424,Local,2,0,0
30427,East,1,3,1
30436,West,0,3,0
30440,Local,4,1,3
30443,East,0,3,2
30448,Local,2,1,1
30488,Local,2,0,0
30491,East,2,3,2
30500,West,0,3,0
30504,Local,3,2,3
30507,East,0,3,2
30512,Local,1,2,1
30552,Local,2,0,0
30555,East,2,3,2
30564,West,0,3,0
30568,Local,3,2,3
30571,East,0,3,2
30576,Local,2,2,2
30615,Local,2,0,0
30618,East,1,0,2
30627,West,0,3,0
30631,Local,4,2,0
30634,East,0,3,2
30639,Local,2,2,2
30677,Local,2,0,0
30680,East,1,0,2
30689,West,0,3,0
30693,Local,4,2,0
30696,East,0,3,2
30701,Local,2,2,2
30744,Local,2,0,0
30747,East,1,0,2
30756,West,0,3,0
30760,Local,4,2,0
30763,East,0,3,2
30768,Local,1,3,3
30809,Local,1,1,1
30812,East,1,0,2
30821,West,0,3,0
30825,Local,4,2,0
30828,East,1,3,3
30833,Local,1,3,3
30874,Local,0,2,1
30877,East,2,0,3
30886,West,0,3,0
30890,Local,4,2,0
30893,East,0,0,3
30898,Local,2,3,0
30936,Local,0,2,1
30939,East,2,0,3
30948,West,0,3,0
30952,Local,4,2,0
30955,East,0,0,3
30960,Local,2,3,0
31002,Local,0,2,1
31005,East,2,0,3
31014,West,0,3,0
31018,Local,4,2,0
31021,East,0,0,3
31067,Local,1,2,2
31070,East,2,0,3
31075,Local,1,3,1
31079,West,0,3,0
31083,Local,4,2,0
31086,East,0,0,3
31133,Local,0,3,2
31136,East,3,0,0
31141,Local,1,3,1
31145,West,0,3,0
31149,Local,4,2,0
31152,East,0,0,3
31197,Local,0,3,2
31200,East,3,0,0
31205,Local,2,3,2
31209,West,0,3,0
31213,Local,4,2,0
31216,East,0,0,3
31263,Local,1,3,3
31266,East,3,0,0
31271,Local,1,0,2
31275,West,0,3,0
31279,Local,4,2,0
31282,East,0,0,3
31287,Local,1,1,3
31326,Local,1,3,3
31329,East,3,0,0
31334,Local,1,0,2
31338,West,0,3,0
31342,Local,4,2,0
31345,East,1,0,0
31350,Local,1,1,3
31390,Local,2,3,0
31393,East,2,1,0
31398,Local,2,0,3
31402,West,1,3,1
31406,Local,4,2,0
31409,East,1,0,0
31414,Local,1,1,3
31454,Local,2,3,0
31457,East,1,2,0
31462,Local,2,0,3
31466,West,1,3,1
31470,Local,4,2,0
31473,East,1,0,0
31478,Local,1,1,3
31521,Local,3,3,1
31524,East,0,3,0
31529,Local,1,1,0
31533,West,1,3,1
31537,Local,4,2,0
31540,East,1,0,0
31545,Local,0,2,3
31585,Local,3,3,1
31588,East,0,3,0
31593,Local,1,1,0
31597,West,1,3,1
31601,Local,4,2,0
31604,East,2,0,1
31609,Local,0,2,3
31649,Local,4,3,2
31652,East,1,3,1
31657,Local,2,1,1
31661,West,1,3,1
31665,Local,4,2,0
31668,East,1,1,1
31673,Local,1,2,0
31714,Local,4,3,2
31717,East,0,0,1
31722,Local,1,2,1
31726,West,1,3,1
31730,Local,4,2,0
31733,East,0,2,1
31738,Local,1,2,0
31779,Local,4,3,2
31782,East,0,0,1
31787,Local,1,2,1
31791,West,0,0,1
31795,Local,3,3,0
31798,East,0,2,1
31803,Local,2,2,1
31842,Local,4,3,2
31845,East,0,0,1
31850,Local,2,2,2
31854,West,0,0,1
31858,Local,3,3,0
31861,East,1,2,2
31866,Local,2,2,1
31907,Local,3,0,2
31910,East,0,0,1
31915,Local,2,2,2
31919,West,0,0,1
31923,Local,3,3,0
31926,East,0,3,2
31931,Local,3,2,2
31971,Local,3,0,2
31974,East,0,0,1
31979,Local,1,3,2
31983,West,0,0,1
31987,Local,3,3,0
31990,East,0,3,2
31995,Local,3,2,2
32036,Local,4,0,3
32039,East,0,0,1
32044,Local,2,3,3
32048,West,0,0,1
32052,Local,3,3,0
32055,East,0,3,2
32060,Local,2,3,2
