packet_id,seen_in_waveguide,last_cycle_seen,last_tag,last_line
2-469,False,,FIFO,Local FIFO c=4   : 2-469(d=2) 2-471(d=0) 2-454(d=0) 2-463(d=0)
2-471,False,,FIFO,Local FIFO c=4   : 2-469(d=2) 2-471(d=0) 2-454(d=0) 2-463(d=0)
2-7,True,,Router,"R->L  [0: :3-114] [1: :3-114] [2:V:3-114] [3: :2-74]  Connecting router 1,1 with router 3,0"
2-82,False,,FIFO,Local FIFO c=3   : 2-82(d=0) 2-92(d=2) 2-74(d=2) x
3-119,False,,FIFO,Local FIFO c=2   : 3-119(d=3) 3-122(d=3) x x
3-122,False,,FIFO,Local FIFO c=3   : 3-129(d=3) 3-122(d=3) 3-125(d=3) x
3-125,False,,FIFO,Local FIFO c=3   : 3-131(d=0) 3-125(d=3) 3-127(d=0) x
3-127,False,,FIFO,Local FIFO c=3   : 3-136(d=3) 3-127(d=0) 3-129(d=3) x
3-131,False,,FIFO,Local FIFO c=3   : 3-141(d=3) 3-143(d=3) 3-131(d=0) x
3-180,False,,FIFO,Local FIFO c=2   : 3-180(d=3) 3-187(d=3) x x
3-187,False,,FIFO,Local FIFO c=3   : 3-195(d=3) 3-187(d=3) 3-189(d=0) x
3-189,False,,FIFO,Local FIFO c=2   : 3-197(d=0) 3-189(d=0) x x
3-193,False,,FIFO,Local FIFO c=2   : 3-199(d=0) 3-193(d=3) x x
3-197,False,,FIFO,Local FIFO c=3   : 3-201(d=3) 3-205(d=3) 3-197(d=0) x
3-227,False,,FIFO,Local FIFO c=1   : 3-227(d=0) x x x
3-229,False,,FIFO,Local FIFO c=1   : 3-229(d=3) x x x
3-235,False,,FIFO,Local FIFO c=1   : 3-235(d=3) x x x
3-238,False,,FIFO,Local FIFO c=2   : 3-248(d=0) 3-238(d=3) x x
3-271,False,,FIFO,Local FIFO c=3   : 3-271(d=3) 3-273(d=3) 3-275(d=3) x
3-275,False,,FIFO,Local FIFO c=2   : 3-275(d=3) 3-278(d=0) x x
3-278,False,,FIFO,Local FIFO c=2   : 3-278(d=0) 3-280(d=3) x x
3-285,False,,FIFO,Local FIFO c=2   : 3-285(d=0) 3-287(d=0) x x
3-340,False,,FIFO,Local FIFO c=2   : 3-340(d=0) 3-343(d=0) x x
3-356,False,,FIFO,Local FIFO c=1   : 3-356(d=3) x x x
3-359,False,,FIFO,Local FIFO c=1   : 3-359(d=3) x x x
3-361,False,,FIFO,Local FIFO c=1   : 3-361(d=0) x x x
3-366,False,,FIFO,Local FIFO c=2   : 3-374(d=3) 3-366(d=3) x x
3-397,False,,FIFO,Local FIFO c=2   : 3-397(d=3) 3-399(d=3) x x
3-399,False,,FIFO,Local FIFO c=2   : 3-399(d=3) 3-402(d=3) x x
3-419,False,,Other,"IP 3 sending 3-419 to 0,1"
3-421,False,,Other,"IP 3 sending 3-421 to 1,0"
3-425,False,,Other,"IP 3 sending 3-425 to 1,0"
