packet_id,last_tag,last_cycle_seen,last_line
1-235,FIFO,,Local FIFO c=3   : 1-235(d=1) 1-237(d=1) 1-239(d=3) x
1-237,FIFO,,Local FIFO c=3   : 1-237(d=1) 1-239(d=3) 1-243(d=1) x
1-239,FIFO,,Local FIFO c=3   : 1-239(d=3) 1-243(d=1) 1-248(d=1) x
1-248,FIFO,,Local FIFO c=2   : 1-248(d=1) 1-255(d=3) x x
1-26,Other,,L->R  [0: :0-255] [1: :0-255] [2:V:0-255] [3: :1-264]
1-268,FIFO,,Local FIFO c=3   : 1-279(d=1) 1-268(d=1) 1-271(d=3) x
1-289,FIFO,,Local FIFO c=3   : 1-301(d=3) 1-303(d=1) 1-289(d=1) x
1-313,FIFO,,Local FIFO c=3   : 1-313(d=1) 1-315(d=3) 1-321(d=1) x
1-315,FIFO,,Local FIFO c=3   : 1-315(d=3) 1-321(d=1) 1-323(d=3) x
1-32,Other,,L->R  [0: :0-373] [1: :0-373] [2:V:0-373] [3: :1-327]
1-321,FIFO,,Local FIFO c=3   : 1-321(d=1) 1-323(d=3) 1-325(d=3) x
1-338,FIFO,,Local FIFO c=3   : 1-338(d=1) 1-340(d=1) 1-347(d=3) x
1-340,FIFO,,Local FIFO c=3   : 1-340(d=1) 1-347(d=3) 1-351(d=3) x
1-347,FIFO,,Local FIFO c=3   : 1-347(d=3) 1-351(d=3) 1-353(d=1) x
1-368,FIFO,,Local FIFO c=2   : 1-374(d=1) 1-368(d=3) x x
1-392,FIFO,,Local FIFO c=3   : 1-392(d=1) 1-394(d=3) 1-396(d=3) x
1-426,FIFO,,Local FIFO c=1   : 1-426(d=1) x x x
1-439,FIFO,,Local FIFO c=2   : 1-439(d=1) 1-442(d=3) x x
1-447,FIFO,,Local FIFO c=1   : 1-447(d=1) x x x
1-455,Other,,"IP 1 sending 1-455 to 0,1"
1-457,Other,,"IP 1 sending 1-457 to 0,1"
1-467,Other,,"IP 1 sending 1-467 to 0,0"
1-471,Other,,"IP 1 sending 1-471 to 1,1"
1-474,FIFO,,Local FIFO c=1   : 1-474(d=1) x x x
1-482,Router,,"R->L  [0: :1-482] [1: :1-482] [2: :1-482] [3: :1-482]  Connecting router 0,2 with router 1,3"
1-484,FIFO,,Local FIFO c=2   : 1-484(d=1) 1-487(d=3) x x
1-487,Other,,"Mod 1,3  V:0 ID:1-487Mod 1,3  V:1 ID:1-487"
1-490,FIFO,,Local FIFO c=1   : 1-490(d=3) x x x
1-492,Other,,"IP 1 sending 1-492 to 0,0"
1-499,Other,,"IP 1 sending 1-499 to 1,1"
1-82,FIFO,,Local FIFO c=2   : 1-82(d=3) 1-84(d=3) x x
1-84,FIFO,,Local FIFO c=2   : 1-84(d=3) 1-86(d=3) x x
1-86,FIFO,,Local FIFO c=3   : 1-95(d=1) 1-86(d=3) 1-90(d=1) x
1-90,FIFO,,Local FIFO c=3   : 1-97(d=1) 1-90(d=1) 1-92(d=3) x
1-95,FIFO,,Local FIFO c=2   : 1-95(d=1) 1-97(d=1) x x
2-135,FIFO,,Local FIFO c=3   : 2-135(d=0) 2-140(d=0) 2-167(d=2) x
2-14,Router,,"R->L  [0: :3-164] [1: :3-164] [2:V:3-164] [3: :2-140]  Connecting router 0,1 with router 2,0"
2-167,FIFO,,Local FIFO c=3   : 2-167(d=2) 2-174(d=2) 2-177(d=0) x
2-174,FIFO,,Local FIFO c=3   : 2-174(d=2) 2-177(d=0) 2-180(d=0) x
2-177,FIFO,,Local FIFO c=3   : 2-177(d=0) 2-180(d=0) 2-182(d=2) x
2-180,FIFO,,Local FIFO c=3   : 2-180(d=0) 2-182(d=2) 2-192(d=0) x
2-19,FIFO,,Local FIFO c=3   : 2-196(d=2) 2-203(d=0) 2-211(d=2) x
2-192,FIFO,,Local FIFO c=3   : 2-192(d=0) 2-196(d=2) 2-203(d=0) x
2-21,Other,,"IP block 3 received packet 2-211 from   0,  1"
2-23,FIFO,,Local FIFO c=2   : 2-234(d=0) 2-242(d=2) x x
2-245,FIFO,,Local FIFO c=2   : 2-245(d=2) 2-248(d=0) x x
2-248,FIFO,,Local FIFO c=3   : 2-261(d=2) 2-248(d=0) 2-254(d=2) x
2-254,FIFO,,Local FIFO c=2   : 2-265(d=2) 2-254(d=2) x x
2-258,FIFO,,Local FIFO c=3   : 2-265(d=2) 2-269(d=0) 2-258(d=2) x
2-26,Router,,"R->L  [0: :2-272] [1: :2-272] [2:V:2-272] [3: :2-265]  Connecting router 1,1 with router 3,0"
2-269,FIFO,,Local FIFO c=3   : 2-269(d=0) 2-272(d=2) 2-261(d=2) x
2-297,FIFO,,Local FIFO c=3   : 2-297(d=0) 2-300(d=0) 2-304(d=2) x
2-300,FIFO,,Local FIFO c=3   : 2-300(d=0) 2-304(d=2) 2-321(d=2) x
2-304,FIFO,,Local FIFO c=3   : 2-304(d=2) 2-321(d=2) 2-324(d=0) x
2-321,FIFO,,Local FIFO c=3   : 2-321(d=2) 2-324(d=0) 2-326(d=0) x
2-324,FIFO,,Local FIFO c=3   : 2-324(d=0) 2-326(d=0) 2-328(d=2) x
2-326,FIFO,,Local FIFO c=3   : 2-326(d=0) 2-328(d=2) 2-344(d=2) x
2-354,FIFO,,Local FIFO c=3   : 2-354(d=0) 2-357(d=2) 2-409(d=2) x
2-434,Other,,L->R  [0: :2-434] [1: :2-434] [2: :2-434] [3: :2-434]
2-454,FIFO,,Local FIFO c=4   : 2-469(d=2) 2-471(d=0) 2-454(d=0) 2-463(d=0)
2-463,FIFO,,Local FIFO c=4   : 2-469(d=2) 2-471(d=0) 2-454(d=0) 2-463(d=0)
2-469,FIFO,,Local FIFO c=4   : 2-469(d=2) 2-471(d=0) 2-454(d=0) 2-463(d=0)
2-471,FIFO,,Local FIFO c=4   : 2-469(d=2) 2-471(d=0) 2-454(d=0) 2-463(d=0)
2-7,Router,,"R->L  [0: :3-114] [1: :3-114] [2:V:3-114] [3: :2-74]  Connecting router 1,1 with router 3,0"
2-82,FIFO,,Local FIFO c=3   : 2-82(d=0) 2-92(d=2) 2-74(d=2) x
3-119,FIFO,,Local FIFO c=2   : 3-119(d=3) 3-122(d=3) x x
3-122,FIFO,,Local FIFO c=3   : 3-129(d=3) 3-122(d=3) 3-125(d=3) x
3-125,FIFO,,Local FIFO c=3   : 3-131(d=0) 3-125(d=3) 3-127(d=0) x
3-127,FIFO,,Local FIFO c=3   : 3-136(d=3) 3-127(d=0) 3-129(d=3) x
3-131,FIFO,,Local FIFO c=3   : 3-141(d=3) 3-143(d=3) 3-131(d=0) x
3-180,FIFO,,Local FIFO c=2   : 3-180(d=3) 3-187(d=3) x x
3-187,FIFO,,Local FIFO c=3   : 3-195(d=3) 3-187(d=3) 3-189(d=0) x
3-189,FIFO,,Local FIFO c=2   : 3-197(d=0) 3-189(d=0) x x
3-193,FIFO,,Local FIFO c=2   : 3-199(d=0) 3-193(d=3) x x
3-197,FIFO,,Local FIFO c=3   : 3-201(d=3) 3-205(d=3) 3-197(d=0) x
3-227,FIFO,,Local FIFO c=1   : 3-227(d=0) x x x
3-229,FIFO,,Local FIFO c=1   : 3-229(d=3) x x x
3-235,FIFO,,Local FIFO c=1   : 3-235(d=3) x x x
3-238,FIFO,,Local FIFO c=2   : 3-248(d=0) 3-238(d=3) x x
3-271,FIFO,,Local FIFO c=3   : 3-271(d=3) 3-273(d=3) 3-275(d=3) x
3-275,FIFO,,Local FIFO c=2   : 3-275(d=3) 3-278(d=0) x x
3-278,FIFO,,Local FIFO c=2   : 3-278(d=0) 3-280(d=3) x x
3-285,FIFO,,Local FIFO c=2   : 3-285(d=0) 3-287(d=0) x x
3-340,FIFO,,Local FIFO c=2   : 3-340(d=0) 3-343(d=0) x x
3-356,FIFO,,Local FIFO c=1   : 3-356(d=3) x x x
3-359,FIFO,,Local FIFO c=1   : 3-359(d=3) x x x
3-361,FIFO,,Local FIFO c=1   : 3-361(d=0) x x x
3-366,FIFO,,Local FIFO c=2   : 3-374(d=3) 3-366(d=3) x x
3-397,FIFO,,Local FIFO c=2   : 3-397(d=3) 3-399(d=3) x x
3-399,FIFO,,Local FIFO c=2   : 3-399(d=3) 3-402(d=3) x x
3-419,Other,,"IP 3 sending 3-419 to 0,1"
3-421,Other,,"IP 3 sending 3-421 to 1,0"
3-425,Other,,"IP 3 sending 3-425 to 1,0"
3-433,FIFO,,Local FIFO c=3   : 3-433(d=0) 3-437(d=3) 3-439(d=3) x
3-457,FIFO,,Local FIFO c=3   : 3-457(d=3) 3-460(d=3) 3-463(d=3) x
3-460,FIFO,,Local FIFO c=3   : 3-460(d=3) 3-463(d=3) 3-467(d=3) x
3-467,Router,,"R->L  [0: :3-469] [1: :3-469] [2:V:3-469] [3: :3-467]  Connecting router 2,2 with router 3,3"
3-469,Router,,"R->L  [0:V:3-473] [1: :3-469] [2: :3-469] [3: :3-469]  Connecting router 0,1 with router 2,0"
3-473,Waveguide,,"R->L  [0:V:3-473] [1: :3-469] [2: :3-469] [3: :3-469]  Connecting router 0,1 with router 2,0"
3-478,Waveguide,,"R->L  [0:V:3-478] [1: :3-488] [2: :3-488] [3: :3-488]  Connecting router 2,2 with router 3,3"
3-484,FIFO,,Local FIFO c=1   : 3-484(d=3) x x x
3-486,Other,,"IP 3 sending 3-486 to 1,0"
3-488,Router,,"R->L  [0:V:3-478] [1: :3-488] [2: :3-488] [3: :3-488]  Connecting router 2,2 with router 3,3"
3-497,Other,,"IP 3 sending 3-497 to 0,1"
3-79,FIFO,,Local FIFO c=3   : 3-79(d=0) 3-82(d=3) 3-84(d=3) x
3-86,FIFO,,Local FIFO c=2   : 3-86(d=0) 3-91(d=3) x x
